('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         635329 function calls (610448 primitive calls) in 1.100 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.054    0.027 _synchronization.py:1(<module>)
        2    0.000    0.000    0.084    0.042 _models.py:1(<module>)
        2    0.000    0.000    0.273    0.136 _api.py:1(<module>)
       26    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
       85    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       52    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
      150    0.000    0.000    0.132    0.001 default.py:102(__iter__)
        1    0.000    0.000    0.002    0.002 quoprimime.py:1(<module>)
        1    0.000    0.000    0.211    0.211 _client.py:1(<module>)
      150    0.000    0.000    0.132    0.001 _client.py:122(__iter__)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:646(_validate_hash_pyc)
       25    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
       68    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
       63    0.000    0.000    0.000    0.000 dataclasses.py:825(_set_new_attribute)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
      150    0.000    0.000    0.132    0.001 connection_pool.py:345(__iter__)
        1    0.000    0.000    0.001    0.001 _client.py:572(Client)
        1    0.000    0.000    0.041    0.041 request.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2178(__init__)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
      242    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      268    0.000    0.000    0.000    0.000 enum.py:801(value)
      158    0.000    0.000    0.001    0.000 typing.py:1234(<genexpr>)
      266    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
        1    0.000    0.000    0.000    0.000 ssl.py:480(SSLContext)
        2    0.000    0.000    0.000    0.000 http_proxy.py:1(<module>)
      243    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       15    0.000    0.000    0.000    0.000 abc.py:146(update_abstractmethods)
       69    0.000    0.000    0.000    0.000 dataclasses.py:818(_set_qualname)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 _client.py:1291(AsyncClient)
      330    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       25    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
        5    0.000    0.000    0.000    0.000 inspect.py:2276(_signature_from_function)
       86    0.000    0.000    0.000    0.000 re.py:269(escape)
      154    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
       23    0.000    0.000    0.001    0.000 typing.py:1208(__getitem_inner__)
        1    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
        1    0.000    0.000    0.001    0.001 _status_codes.py:1(<module>)
       21    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.051    0.025 api.py:1(<module>)
        2    0.000    0.000    0.009    0.004 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abnf_regexp.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _streams.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 _fileio.py:226(Path)
       34    0.000    0.000    0.000    0.000 typing.py:1107(__mro_entries__)
       34    0.000    0.000    0.005    0.000 element.py:1846(find)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
        9    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
       32    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1878(__init__)
       35    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        2    0.000    0.000    0.002    0.001 _compat.py:1(<module>)
       23    0.000    0.000    0.000    0.000 typing.py:1188(copy_with)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1465(__init__)
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
       37    0.000    0.000    0.000    0.000 dataclasses.py:450(_field_init)
       73    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
       36    0.000    0.000    0.019    0.001 element.py:1871(find_all)
        1    0.000    0.000    0.012    0.012 base_events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       32    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       85    0.000    0.000    0.000    0.000 os.py:754(encode)
       26    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.761    0.761 financial_enhanced.py:7(beautiful)
        1    0.000    0.000    0.003    0.003 _types.py:1(<module>)
      146    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      165    0.000    0.000    0.000    0.000 dataclasses.py:426(<genexpr>)
       15    0.000    0.000    0.001    0.000 dataclasses.py:588(_repr_fn)
        1    0.000    0.000    0.005    0.005 cd.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
        1    0.000    0.000    0.007    0.007 cookiejar.py:1(<module>)
        2    0.000    0.000    0.007    0.004 http11.py:1(<module>)
      299    0.000    0.000    0.000    0.000 ssl.py:1109(_checkClosed)
      152    0.000    0.000    0.000    0.000 os.py:758(decode)
      121    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
        1    0.000    0.000    0.005    0.005 financial_enhanced.py:17(<listcomp>)
      159    0.000    0.000    0.000    0.000 _connection.py:175(our_state)
        1    0.000    0.000    0.028    0.028 client.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _client.py:155(BaseClient)
       15    0.000    0.000    0.000    0.000 dataclasses.py:393(_recursive_repr)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
      303    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.018    0.018 from_thread.py:1(<module>)
       38    0.000    0.000    0.000    0.000 element.py:274(get_text)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
       76    0.000    0.000    0.000    0.000 _collections_abc.py:904(__iter__)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 socket.py:220(__init__)
        6    0.000    0.000    0.000    0.000 normalizers.py:145(encode_component)
        1    0.000    0.000    0.015    0.015 _content.py:1(<module>)
        3    0.000    0.000    0.001    0.000 _exceptions.py:1(<module>)
       86    0.000    0.000    0.000    0.000 _models.py:23(enforce_bytes)
       15    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
        2    0.000    0.000    0.003    0.001 _subprocesses.py:1(<module>)
        1    0.000    0.000    0.035    0.035 _fileio.py:1(<module>)
       55    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
      100    0.000    0.000    0.000    0.000 _models.py:89(encoding)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        2    0.000    0.000    0.000    0.000 connection_pool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:2488(getproxies_environment)
  130/129    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       25    0.000    0.000    0.000    0.000 enum.py:82(__init__)
        1    0.000    0.000    0.039    0.039 css_parser.py:431(CSSParser)
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       26    0.000    0.000    0.000    0.000 typing.py:722(__init__)
       62    0.000    0.000    0.000    0.000 _status_codes.py:24(__new__)
      152    0.000    0.000    0.000    0.000 _events.py:73(_validate)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _models.py:432(Response)
        4    0.000    0.000    0.000    0.000 _headers.py:119(normalize_and_validate)
        8    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 dammit.py:522(UnicodeDammit)
       24    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
      136    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 css_match.py:78(_DocumentNav)
       73    0.000    0.000    0.000    0.000 typing.py:380(__repr__)
      193    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       36    0.000    0.000    0.000    0.000 message.py:393(__setitem__)
        2    0.000    0.000    0.000    0.000 _tasks.py:1(<module>)
       35    0.000    0.000    0.000    0.000 _util.py:83(validate)
       15    0.000    0.000    0.000    0.000 dataclasses.py:370(_fields_in_init_order)
      173    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        8    0.000    0.000    0.000    0.000 pathlib.py:621(__str__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.002    0.002 resources.py:1(<module>)
        1    0.000    0.000    0.041    0.041 misc.py:1(<module>)
        2    0.000    0.000    0.004    0.002 core.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
        1    0.000    0.000    0.066    0.066 default.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _connection.py:1(<module>)
       15    0.000    0.000    0.037    0.002 css_parser.py:308(__init__)
       88    0.000    0.000    0.000    0.000 typing.py:1330(<genexpr>)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.039    0.039 socket.py:808(create_connection)
       10    0.000    0.000    0.000    0.000 inspect.py:2913(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       36    0.000    0.000    0.000    0.000 element.py:2278(__init__)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       37    0.000    0.000    0.000    0.000 dataclasses.py:266(__init__)
        1    0.000    0.000    0.000    0.000 client.py:108(<dictcomp>)
        1    0.000    0.000    0.132    0.132 _auth.py:1(<module>)
        1    0.000    0.000    0.038    0.038 ssl.py:1014(_create)
       15    0.000    0.000    0.000    0.000 dataclasses.py:549(<dictcomp>)
      138    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.077    0.077 connection.py:92(_connect)
       17    0.000    0.000    0.000    0.000 _mixin.py:15(authority_info)
        1    0.000    0.000    0.506    0.506 _client.py:989(_send_single_request)
        1    0.000    0.000    0.002    0.002 memory.py:1(<module>)
       37    0.000    0.000    0.000    0.000 dataclasses.py:346(field)
        3    0.000    0.000    0.000    0.000 _receivebuffer.py:103(maybe_extract_lines)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        7    0.000    0.000    0.000    0.000 element.py:810(<genexpr>)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
        1    0.000    0.000    0.001    0.001 ntpath.py:1(<module>)
       55    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        6    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1586(_make_netmask)
        1    0.000    0.000    0.042    0.042 dammit.py:1(<module>)
        1    0.000    0.000    0.117    0.117 element.py:1(<module>)
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
        2    0.000    0.000    0.021    0.011 parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _eventloop.py:1(<module>)
       56    0.000    0.000    0.000    0.000 _utils.py:30(normalize_header_key)
        1    0.000    0.000    0.000    0.000 _client.py:156(__init__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1710(_parse_hextet)
        8    0.000    0.000    0.000    0.000 pathlib.py:589(_from_parts)
        1    0.000    0.000    0.001    0.001 abc.py:1(<module>)
        9    0.000    0.000    0.000    0.000 pathlib.py:569(_parse_args)
        6    0.000    0.000    0.001    0.000 dataclasses.py:599(_frozen_get_del_attr)
        2    0.000    0.000    0.000    0.000 _models.py:160(<listcomp>)
        1    0.000    0.000    0.007    0.007 css_match.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _config.py:1(<module>)
       28    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       76    0.000    0.000    0.000    0.000 os.py:697(__iter__)
        1    0.000    0.000    0.428    0.428 http11.py:55(handle_request)
        1    0.000    0.000    0.003    0.003 hashlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _readers.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cgi.py:1(<module>)
       89    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       11    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
        1    0.000    0.000    0.081    0.081 __init__.py:120(__init__)
      149    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
        5    0.000    0.000    0.000    0.000 inspect.py:3199(__str__)
        1    0.000    0.000    0.000    0.000 _status_codes.py:4(codes)
        1    0.000    0.000    0.002    0.002 md.py:1(<module>)
        1    0.000    0.000    0.019    0.019 css_parser.py:328(__init__)
       10    0.000    0.000    0.000    0.000 inspect.py:2630(__init__)
        1    0.000    0.000    0.002    0.002 tls.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lowlevel.py:1(<module>)
       38    0.000    0.000    0.000    0.000 element.py:293(<listcomp>)
        1    0.000    0.000    0.005    0.005 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.004    0.004 css_types.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _models.py:75(<listcomp>)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
        1    0.000    0.000    0.505    0.505 default.py:199(handle_request)
        1    0.000    0.000    0.002    0.002 message.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 models.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:481(CSSMatch)
        1    0.000    0.000    0.000    0.000 from_thread.py:147(BlockingPortal)
        2    0.000    0.000    0.000    0.000 _testing.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _config.py:151(_create_default_ssl_context)
        2    0.000    0.000    0.000    0.000 _models.py:1189(info)
        1    0.000    0.000    0.505    0.505 connection.py:54(handle_request)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       18    0.000    0.000    0.000    0.000 dataclasses.py:379(_tuple_str)
       14    0.000    0.000    0.015    0.001 css_parser.py:1156(process_selectors)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        5    0.000    0.000    0.000    0.000 inspect.py:1964(_signature_bound_method)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 stapled.py:1(<module>)
       68    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       63    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.004    0.004 tempfile.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1147(_make_netmask)
       43    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        5    0.000    0.000    0.000    0.000 typing.py:532(Literal)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
        1    0.000    0.000    0.505    0.505 connection_pool.py:200(handle_request)
        1    0.000    0.000    0.014    0.014 _multipart.py:1(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
       74    0.000    0.000    0.000    0.000 typing.py:1342(<genexpr>)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
        1    0.000    0.000    0.000    0.000 _state.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        1    0.000    0.000    0.049    0.049 _urls.py:1(<module>)
    55/39    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.004    0.004 header.py:1(<module>)
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
        1    0.000    0.000    0.000    0.000 mimetypes.py:399(_default_mime_types)
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
        2    0.000    0.000    0.000    0.000 _models.py:78(<listcomp>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:25(AsyncHTTPConnection)
        3    0.000    0.000    0.000    0.000 _urls.py:73(__init__)
        1    0.000    0.000    0.001    0.001 coroutines.py:1(<module>)
       10    0.000    0.000    0.000    0.000 inspect.py:612(unwrap)
        2    0.000    0.000    0.000    0.000 connection_pool.py:181(_close_expired_connections)
        1    0.000    0.000    0.000    0.000 _base.py:1(<module>)
       36    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.010    0.010 _config.py:98(load_ssl_context_verify)
        6    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        1    0.000    0.000    0.000    0.000 resources.py:135(_path_from_resource_path)
        2    0.000    0.000    0.000    0.000 _readers.py:83(maybe_read_from_SEND_RESPONSE_server)
        1    0.000    0.000    0.039    0.039 sync.py:75(connect_tcp)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _models.py:207(__getitem__)
        2    0.000    0.000    0.000    0.000 interfaces.py:1(<module>)
       39    0.000    0.000    0.000    0.000 dataclasses.py:646(_is_classvar)
        2    0.000    0.000    0.000    0.000 iri.py:83(from_string)
        1    0.000    0.000    0.000    0.000 _urls.py:13(URL)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       20    0.000    0.000    0.000    0.000 _readers.py:55(_decode_header_lines)
       33    0.000    0.000    0.000    0.000 dataclasses.py:438(_field_assign)
       79    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
        1    0.000    0.000    0.000    0.000 _fileio.py:40(AsyncFile)
       65    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.034    0.034 to_thread.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:1549(__init_subclass__)
        1    0.000    0.000    0.042    0.042 formatter.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _typedattr.py:28(__init_subclass__)
      103    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 events.py:204(AbstractEventLoop)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       15    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.038    0.038 sync.py:42(start_tls)
        6    0.000    0.000    0.000    0.000 dataclasses.py:664(_is_type)
        1    0.000    0.000    0.001    0.001 _decoders.py:1(<module>)
        1    0.000    0.000    0.016    0.016 feedparser.py:1(<module>)
       15    0.000    0.000    0.007    0.000 dataclasses.py:1175(wrap)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10c79aa70}
        1    0.000    0.000    0.002    0.002 staggered.py:1(<module>)
        1    0.000    0.000    0.001    0.001 thread.py:1(<module>)
       30    0.000    0.000    0.000    0.000 dataclasses.py:510(_init_param)
        1    0.000    0.000    0.001    0.001 sync.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 element.py:150(PageElement)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2267(__new__)
        1    0.000    0.000    0.044    0.044 iri.py:1(<module>)
        1    0.000    0.000    0.000    0.000 http11.py:247(is_idle)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        1    0.000    0.000    1.100    1.100 financial_enhanced.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constants.py:24(_SendfileMode)
        2    0.000    0.000    0.000    0.000 ssl.py:562(set_alpn_protocols)
        1    0.000    0.000    0.000    0.000 selectors.py:584(_can_use)
        2    0.000    0.000    0.000    0.000 iri.py:103(encode)
        8    0.000    0.000    0.000    0.000 _models.py:59(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
        1    0.000    0.000    0.001    0.001 _headers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _models.py:54(Headers)
        1    0.000    0.000    0.000    0.000 element.py:1172(Tag)
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _client.py:621(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.001    0.001 _impl.py:1(<module>)
        1    0.000    0.000    0.659    0.659 _api.py:23(request)
        2    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        4    0.000    0.000    0.000    0.000 pathlib.py:1316(is_file)
       20    0.000    0.000    0.000    0.000 _readers.py:35(_obsolete_line_fold)
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
       89    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       10    0.000    0.000    0.000    0.000 inspect.py:1357(formatannotation)
        1    0.000    0.000    0.000    0.000 _utils.py:7(is_socket_readable)
        2    0.000    0.000    0.000    0.000 base.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        5    0.000    0.000    0.000    0.000 typing.py:964(__mro_entries__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1843(_split_scope_id)
        1    0.000    0.000    0.005    0.005 _utils.py:300(get_environment_proxies)
        8    0.000    0.000    0.000    0.000 _receivebuffer.py:86(maybe_extract_next_line)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
        8    0.000    0.000    0.000    0.000 formatter.py:49(__init__)
        1    0.000    0.000    0.000    0.000 _client.py:126(close)
        6    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 _models.py:996(Cookies)
        1    0.000    0.000    0.000    0.000 _utils.py:23(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:6(HTTPStatus)
        1    0.000    0.000    0.002    0.002 _events.py:1(<module>)
       10    0.000    0.000    0.000    0.000 typing.py:1154(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parseresult.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _models.py:1168(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:993(__instancecheck__)
        7    0.000    0.000    0.000    0.000 _headers.py:169(get_comma_header)
        1    0.000    0.000    0.001    0.001 uri.py:1(<module>)
        7    0.000    0.000    0.000    0.000 sre_parse.py:868(_parse_flags)
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        2    0.000    0.000    0.000    0.000 _utils.py:234(get_logger)
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:23(CharsetMatch)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_parser.py:676(parse_pseudo_nth)
       15    0.000    0.000    0.000    0.000 dataclasses.py:592(<listcomp>)
        1    0.000    0.000    0.000    0.000 _typedattr.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:938(getaddrinfo)
        1    0.000    0.000    0.000    0.000 _urls.py:555(QueryParams)
        1    0.000    0.000    0.015    0.015 _policybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 futures.py:30(Future)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 http11.py:37(AsyncHTTP11Connection)
        1    0.000    0.000    0.000    0.000 client.py:789(HTTPConnection)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x10cb2ab00}
        1    0.000    0.000    0.000    0.000 http11.py:37(HTTP11Connection)
        1    0.000    0.000    0.000    0.000 connection_pool.py:39(ConnectionPool)
       15    0.000    0.000    0.000    0.000 dataclasses.py:573(<listcomp>)
        2    0.000    0.000    0.000    0.000 _resources.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:700(Popen)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       45    0.000    0.000    0.000    0.000 dataclasses.py:374(<genexpr>)
        7    0.000    0.000    0.000    0.000 _trace.py:8(__init__)
       39    0.000    0.000    0.000    0.000 dataclasses.py:654(_is_initvar)
        5    0.000    0.000    0.000    0.000 inspect.py:66(get_annotations)
        2    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
       15    0.000    0.000    0.000    0.000 dataclasses.py:324(__init__)
        2    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.001    0.001 asgi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 parser.py:16(Parser)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.038    0.038 ssl.py:1335(do_handshake)
        1    0.000    0.000    0.000    0.000 tls.py:51(TLSStream)
        1    0.000    0.000    0.000    0.000 datetime.py:762(date)
        1    0.000    0.000    0.000    0.000 tls.py:22(TLSAttribute)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1566(_BaseV6)
        1    0.000    0.000    0.000    0.000 wsgi.py:1(<module>)
