('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         635329 function calls (610448 primitive calls) in 1.100 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    270/3    0.001    0.000    0.340    0.113 <frozen importlib._bootstrap>:664(_load_unlocked)
      270    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
2073/2000    0.001    0.000    0.021    0.000 typing.py:306(inner)
     2211    0.001    0.000    0.002    0.000 element.py:2059(_normalize_search_value)
     1273    0.001    0.000    0.011    0.000 __init__.py:735(handle_endtag)
      346    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
     5799    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     1085    0.001    0.000    0.002    0.000 sre_parse.py:296(_class_escape)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
      459    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      124    0.001    0.000    0.002    0.000 sre_compile.py:516(_get_charset_prefix)
     4612    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
      432    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
 1318/478    0.001    0.000    0.002    0.000 typing.py:1247(__hash__)
     4271    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      151    0.001    0.000    0.559    0.004 http11.py:171(_receive_event)
        2    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
    293/3    0.001    0.000    0.340    0.113 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      104    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
     3227    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      463    0.001    0.000    0.001    0.000 typing.py:206(_collect_type_vars)
3985/2128    0.001    0.000    0.002    0.000 {built-in method builtins.hash}
      433    0.001    0.000    0.002    0.000 __init__.py:592(object_was_parsed)
      195    0.001    0.000    0.007    0.000 sre_compile.py:560(_compile_info)
3058/3057    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     4612    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      459    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
       63    0.001    0.000    0.001    0.000 enum.py:590(_find_data_type)
     5996    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      195    0.001    0.000    0.144    0.001 sre_compile.py:783(compile)
     8534    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      459    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
     1273    0.001    0.000    0.012    0.000 _htmlparser.py:177(handle_endtag)
        2    0.001    0.000    0.012    0.006 utils.py:1(<module>)
     3012    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      811    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
